HMM                    | sunspots               | exp_1 |-632.52475 -152.81941 -479.61182 |208.06807 107.02801 163.74612 | 0.80378 0.78487 0.79716 |  0.15339 0.20909 0.18492 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 6, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-752.86905 -178.81308 -505.94054 |231.20717 103.75579 149.87778 | 0.61761 0.57920 0.59007 |  0.09661 0.12961 0.11978 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 6, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-622.86919 -154.51446 -479.30428 |202.84813 107.43751 167.45854 | 0.81147 0.79905 0.79433 |  0.15354 0.20934 0.18538 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 7, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-708.84738 -167.06430 -496.23083 |230.15345 107.32877 148.53078 | 0.58570 0.53901 0.55177 |  0.08895 0.11716 0.11379 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 7, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-109.57911 -99.03451 -474.77627 |195.57049 105.27185 160.90290 | 0.76537 0.74232 0.76170 |  0.13856 0.18547 0.17544 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 8, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-717.92076 -180.63119 -507.33757 |231.57321 107.26399 156.76074 | 0.59752 0.53901 0.56596 |  0.09013 0.11938 0.11445 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 8, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-63.85374 -87.74067 -443.91259 |175.50469 107.53259 158.77605 | 0.73582 0.71395 0.74610 |  0.13236 0.17325 0.17220 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 9, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-692.84188 -167.94490 -499.02940 |233.14520 103.95576 159.18041 | 0.57506 0.53191 0.54184 |  0.08694 0.11391 0.11234 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 9, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-47.09782 -91.10166 -440.66349 |201.81638 102.94268 151.66989 | 0.73168 0.70686 0.74468 |  0.12999 0.16866 0.16960 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 10, 'obs_model': 'gaussian', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
HMM                    | sunspots               | exp_1 |-659.88702 -163.80615 -469.26968 |217.57024 102.53852 147.16695 | 0.56442 0.53191 0.51348 |  0.08146 0.11045 0.10200 | 0  # {'dataset': 'sunspots', 'model_name': 'HMM', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 1, 'results_file': 'results_exp1_0.75_06102021.txt', 'exp_num': '1', 'num_states': 10, 'obs_model': 'studentst', 'p_VARMA': 1, 'q_VARMA': 0, 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
