arimax                 | sunspots               | exp_1 |-925.55323 -98.74962 -476.83091 |178.41505 90.68964 137.76381 | 0.91329 0.91509 0.96312 |  0.20303 0.30841 0.31843 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 3, 'q_arimax': '6', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-900.17727 -94.69714 -449.09054 |178.26777 106.94119 139.83583 | 0.91697 0.91038 0.96170 |  0.20348 0.30938 0.31881 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 3, 'q_arimax': '7', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-931.85614 -94.92986 -475.88188 |177.65875 95.00167 136.70532 | 0.91172 0.91981 0.95887 |  0.20370 0.30937 0.31895 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 4, 'q_arimax': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-917.70780 -95.86933 -460.25584 |176.86669 92.08403 145.80151 | 0.91592 0.91038 0.96596 |  0.20620 0.31407 0.32095 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 4, 'q_arimax': '2', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-930.27272 -96.67452 -474.68533 |178.01757 98.40770 137.00440 | 0.91067 0.91981 0.95887 |  0.20361 0.30934 0.31889 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 4, 'q_arimax': '3', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-929.61330 -96.93938 -476.23296 |178.21724 103.52698 136.18214 | 0.91067 0.91509 0.96028 |  0.20346 0.30901 0.31876 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 4, 'q_arimax': '4', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-929.70626 -97.25186 -475.98674 |178.85637 103.35951 136.78003 | 0.91119 0.91509 0.96170 |  0.20352 0.30906 0.31881 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 4, 'q_arimax': '5', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-893.93474 -93.81765 -455.95570 |176.89291 108.18766 136.12310 | 0.91487 0.91981 0.96028 |  0.19985 0.30386 0.31596 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 4, 'q_arimax': '6', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-891.09714 -93.66515 -452.30497 |182.12541 108.83413 130.24966 | 0.91802 0.91509 0.95745 |  0.19966 0.30384 0.31582 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 4, 'q_arimax': '7', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
arimax                 | sunspots               | exp_1 |-931.27697 -95.84195 -476.22038 |178.08421 95.84974 137.58451 | 0.91277 0.91981 0.95887 |  0.20364 0.30928 0.31890 | 0  # {'dataset': 'sunspots', 'model_name': 'arimax', 'seed': 0, 'whiten': 0, 'train_ratio': 0.75, 'dz': 2, 'du': 1, 'dk': 1, 'init_w_pca': 0, 'init_lin_model': 1, 'results_file': 'sunspots', 'exp_num': '1', 'num_states': 1, 'obs_model': 'gaussian', 'p_arimax': 5, 'q_arimax': '1', 'target': 0, 'n_epochs': 2000, 'alpha': 0.05, 'ts': 0, 'in_len': 3, 'out_len': 1, 'kernel_size': 2, 'num_filter': 4, 'd_base': 2, 'dropout': 0.0, 'epochs': 30}
